type,location,progression_zone,reception_zone
Pass,"[48.8, 28.0]",5,5
Pass,"[61.7, 66.4]",8,9
Pass,"[51.1, 34.9]",7,5
Pass,"[41.8, 62.5]",5,6
Pass,"[49.0, 56.3]",6,6
Pass,"[58.2, 72.0]",6,6
Pass,"[58.1, 62.7]",9,6
Pass,"[70.6, 29.8]",8,8
Pass,"[50.0, 46.1]",9,5
Pass,"[31.9, 76.9]",6,6
Pass,"[43.7, 58.5]",8,6
Pass,"[24.3, 53.4]",5,3
Pass,"[92.8, 14.9]",10,10
Carry,"[67.5, 70.4]",9,9
Carry,"[69.1, 54.4]",9,9
Carry,"[81.2, 69.2]",9,9
Carry,"[76.2, 50.0]",9,8
Carry,"[81.0, 72.7]",9,9
Carry,"[83.9, 75.6]",9,9
Carry,"[81.8, 64.8]",9,9
Carry,"[76.6, 69.1]",9,9
Carry,"[67.3, 21.8]",7,7
Carry,"[73.1, 42.6]",9,8
Carry,"[81.0, 58.2]",9,9
Carry,"[55.8, 25.1]",5,4
Carry,"[55.1, 74.6]",9,6
Carry,"[40.2, 62.7]",6,6
